t,y
4092508.8571428563,429603.0
4092508.8571428563,432683.0
4102514.8571428563,432683.0
4102514.8571428563,433204.0
4112512.8571428563,433204.0
4112512.8571428563,433740.0
4122508.8571428563,433740.0
4122508.8571428563,436648.0
4132508.8571428563,436648.0
4132508.8571428563,436726.0
4142512.8571428563,436726.0
4142512.8571428563,439781.0
4152508.8571428563,439781.0
4152508.8571428563,439841.0
4162512.8571428563,439841.0
4162512.8571428563,440361.0
4172512.8571428563,440361.0
4172512.8571428563,440882.0
4182508.8571428563,440882.0
4182508.8571428563,443857.0
4192514.8571428563,443857.0
4192514.8571428563,443925.0
4202525.857142856,443925.0
4202525.857142856,444455.0
4212508.857142856,444455.0
4212508.857142856,444515.0
4222512.857142856,444515.0
4222512.857142856,447583.0
4232508.857142856,447583.0
4232508.857142856,448128.0
4242508.857142856,448128.0
4242508.857142856,451002.0
4252512.857142856,451002.0
4252512.857142856,451080.0
4262512.857142856,451080.0
4262512.857142856,451607.0
4272508.857142856,451607.0
4272508.857142856,451667.0
4282508.857142856,451667.0
4282508.857142856,452201.0
4292515.857142856,452201.0
4292515.857142856,455289.0
4302508.857142856,455289.0
4302508.857142856,455802.0
4312508.857142856,455802.0
4312508.857142856,455870.0
4322508.857142856,455870.0
4322508.857142856,458946.0
4332508.857142856,458946.0
4332508.857142856,459005.0
4342512.857142856,459005.0
4342512.857142856,459526.0
4352512.857142856,459526.0
4352512.857142856,462708.0
4362514.857142856,462708.0
4362514.857142856,463221.0
4372512.857142856,463221.0
4372512.857142856,463299.0
4382512.857142856,463299.0
4382512.857142856,466961.0
4392508.857142856,466961.0
4392508.857142856,467021.0
4402508.857142856,467021.0
4402508.857142856,467581.0
4412512.857142856,467581.0
4412512.857142856,467643.0
4422508.857142856,467643.0
4422508.857142856,470749.0
4432508.857142856,470749.0
4432508.857142856,471279.0
4442514.857142856,471279.0
4442514.857142856,474186.0
4452508.857142856,474186.0
4452508.857142856,474246.0
4462512.857142856,474246.0
4462512.857142856,474767.0
4472512.857142856,474767.0
4472512.857142856,474829.0
4482512.857142856,474829.0
4482512.857142856,477875.0
4492508.857142856,477875.0
4492508.857142856,478406.0
4502512.857142856,478406.0
4502512.857142856,481304.0
4512508.857142856,481304.0
4512508.857142856,481364.0
4522514.857142856,481364.0
4522514.857142856,481885.0
4532508.857142856,481885.0
4532508.857142856,481946.0
4542508.857142856,481946.0
4542508.857142856,485024.0
4552508.857142856,485024.0
4552508.857142856,485551.0
4562508.857142856,485551.0
4562508.857142856,488461.0
4572512.857142856,488461.0
4572512.857142856,488521.0
4582512.857142856,488521.0
4582512.857142856,491605.0
4592512.857142856,491605.0
4592512.857142856,492143.0
4602508.857142856,492143.0
4602508.857142856,492660.0
4612514.857142856,492660.0
4612514.857142856,495641.0
4622514.857142856,495641.0
4622514.857142856,498701.0
4632508.857142856,498701.0
4632508.857142856,498760.0
4642508.857142856,498760.0
4642508.857142856,499295.0
4652514.857142856,499295.0
4652514.857142856,499816.0
4662508.857142856,499816.0
4662508.857142856,502766.0
4672508.857142856,502766.0
4672508.857142856,502835.0
4682508.857142856,502835.0
4682508.857142856,505982.0
4692514.857142856,505982.0
4692514.857142856,506042.0
4702512.857142856,506042.0
4702512.857142856,506562.0
4712508.857142856,506562.0
4712508.857142856,507110.0
4722508.857142856,507110.0
4722508.857142856,510145.0
4732508.857142856,510145.0
4732508.857142856,510213.0
4742512.857142856,510213.0
4742512.857142856,510735.0
4752508.857142856,510735.0
4752508.857142856,510795.0
4762508.857142856,510795.0
4762508.857142856,513722.0
4772512.857142856,513722.0
4772512.857142856,515181.0
4782512.857142856,515181.0
4782512.857142856,515745.0
4792515.857142856,515745.0
4792515.857142856,515813.0
4802512.857142856,515813.0
4802512.857142856,518720.0
4812508.857142856,518720.0
4812508.857142856,518780.0
4822512.857142856,518780.0
4822512.857142856,519301.0
4832508.857142856,519301.0
4832508.857142856,522273.0
4842512.857142856,522273.0
4842512.857142856,522941.0
4852508.857142856,522941.0
4852508.857142856,525895.0
4862512.857142856,525895.0
4862512.857142856,525957.0
4872514.857142856,525957.0
4872514.857142856,526470.0
4882508.857142856,526470.0
4882508.857142856,529417.0
4892512.857142856,529417.0
4892512.857142856,530079.0
4902508.857142856,530079.0
4902508.857142856,532994.0
4912508.857142856,532994.0
4912508.857142856,533520.0
4922508.857142856,533520.0
4922508.857142856,536428.0
4932508.857142856,536428.0
4932508.857142856,537094.0
4942508.857142856,537094.0
4942508.857142856,540013.0
4952515.857142856,540013.0
4952515.857142856,540075.0
4962508.857142856,540075.0
4962508.857142856,540595.0
4972508.857142856,540595.0
4972508.857142856,540665.0
4982508.857142856,540665.0
4982508.857142856,543587.0
4992508.857142856,543587.0
4992508.857142856,544099.0
5002508.857142856,544099.0
5002508.857142856,547239.0
5012512.857142856,547239.0
5012512.857142856,547299.0
5022512.857142856,547299.0
5022512.857142856,547827.0
5032508.857142856,547827.0
5032508.857142856,547886.0
5042512.857142856,547886.0
5042512.857142856,550779.0
5052514.857142856,550779.0
5052514.857142856,551292.0
5062508.857142856,551292.0
5062508.857142856,551811.0
5072512.857142856,551811.0
5072512.857142856,551871.0
5082512.857142856,551871.0
5082512.857142856,554778.0
5092508.857142856,554778.0
5092508.857142856,554848.0
5102512.857142856,554848.0
5102512.857142856,555371.0
5112508.857142856,555371.0
5112508.857142856,556022.0
5122508.857142856,556022.0
5122508.857142856,559096.0
5132512.857142856,559096.0
5132512.857142856,559156.0
5142508.857142856,559156.0
5142508.857142856,562049.0
5152515.857142856,562049.0
5152515.857142856,562109.0
5162512.857142856,562109.0
5162512.857142856,562662.0
5172508.857142856,562662.0
5172508.857142856,563184.0
5182508.857142856,563184.0
5182508.857142856,567014.0
5192508.857142856,567014.0
5192508.857142856,567096.0
5202508.857142856,567096.0
5202508.857142856,570034.0
5212512.857142856,570034.0
5212512.857142856,570094.0
5222512.857142856,570094.0
5222512.857142856,570623.0
5232508.857142856,570623.0
5232508.857142856,571287.0
5242514.857142856,571287.0
5242514.857142856,571366.0
5252512.857142856,571366.0
5252512.857142856,574315.0
5262508.857142856,574315.0
5262508.857142856,577205.0
5272512.857142856,577205.0
5272512.857142856,577724.0
5282508.857142856,577724.0
5282508.857142856,578257.0
5292508.857142856,578257.0
5292508.857142856,578317.0
5302508.857142856,578317.0
5302508.857142856,581393.0
5312512.857142856,581393.0
5312512.857142856,581465.0
5322516.857142856,581465.0
5322516.857142856,584442.0
5332514.857142856,584442.0
5332514.857142856,584974.0
5342512.857142856,584974.0
5342512.857142856,587881.0
5352508.857142856,587881.0
5352508.857142856,588392.0
5362508.857142856,588392.0
5362508.857142856,591469.0
5372512.857142856,591469.0
5372512.857142856,591529.0
5382512.857142856,591529.0
5382512.857142856,594468.0
5392512.857142856,594468.0
5392512.857142856,594990.0
5402508.857142856,594990.0
5402508.857142856,597972.0
5412514.857142856,597972.0
5412514.857142856,598032.0
5422512.857142856,598032.0
5422512.857142856,598552.0
5432508.857142856,598552.0
5432508.857142856,598611.0
5442508.857142856,598611.0
5442508.857142856,599274.0
5452512.857142856,599274.0
5452512.857142856,599353.0
5462512.857142856,599353.0
5462512.857142856,602276.0
5472512.857142856,602276.0
5472512.857142856,605216.0
5482508.857142856,605216.0
5482508.857142856,605747.0
5492512.857142856,605747.0
5492512.857142856,605807.0
5502512.857142856,605807.0
5502512.857142856,606331.0
5512508.857142856,606331.0
5512508.857142856,606399.0
5522514.857142856,606399.0
5522514.857142856,609614.0
5532508.857142856,609614.0
5532508.857142856,609685.0
5542508.857142856,609685.0
5542508.857142856,610206.0
5552512.857142856,610206.0
5552512.857142856,613184.0
5562508.857142856,613184.0
5562508.857142856,613712.0
5572512.857142856,613712.0
5572512.857142856,613780.0
5582512.857142856,613780.0
5582512.857142856,616758.0
5592515.857142856,616758.0
5592515.857142856,616818.0
5602512.857142856,616818.0
5602512.857142856,618256.0
5612508.857142856,618256.0
5612508.857142856,618316.0
5622512.857142856,618316.0
5622512.857142856,621248.0
5632508.857142856,621248.0
5632508.857142856,621316.0
5642508.857142856,621316.0
5642508.857142856,621853.0
5652508.857142856,621853.0
5652508.857142856,624870.0
5662508.857142856,624870.0
5662508.857142856,625391.0
5672508.857142856,625391.0
5672508.857142856,625469.0
5682508.857142856,625469.0
5682508.857142856,628527.0
5692514.857142856,628527.0
5692514.857142856,628596.0
5702512.857142856,628596.0
5702512.857142856,629129.0
5712508.857142856,629129.0
5712508.857142856,629189.0
5722508.857142856,629189.0
5722508.857142856,632130.0
5732512.857142856,632130.0
5732512.857142856,632666.0
5742508.857142856,632666.0
5742508.857142856,635567.0
5752512.857142856,635567.0
5752512.857142856,635635.0
5762516.857142856,635635.0
5762516.857142856,636313.0
5772508.857142856,636313.0
5772508.857142856,636373.0
5782508.857142856,636373.0
5782508.857142856,639326.0
5792515.857142856,639326.0
5792515.857142856,639398.0
5802508.857142856,639398.0
5802508.857142856,642313.0
5812508.857142856,642313.0
5812508.857142856,642983.0
5822512.857142856,642983.0
5822512.857142856,645889.0
5832508.857142856,645889.0
5832508.857142856,646414.0
5842508.857142856,646414.0
5842508.857142856,649335.0
5852512.857142856,649335.0
5852512.857142856,649402.0
5862512.857142856,649402.0
5862512.857142856,650076.0
5872512.857142856,650076.0
5872512.857142856,653042.0
5882514.857142856,653042.0
5882514.857142856,653103.0
5892508.857142856,653103.0
5892508.857142856,653620.0
5902512.857142856,653620.0
5902512.857142856,656602.0
5912512.857142856,656602.0
5912512.857142856,657268.0
5922508.857142856,657268.0
5922508.857142856,660361.0
5932508.857142856,660361.0
5932508.857142856,660439.0
5942512.857142856,660439.0
5942512.857142856,663409.0
5952513.857142856,663409.0
5952513.857142856,664679.0
5962508.857142856,664679.0
5962508.857142856,665243.0
5972515.857142856,665243.0
5972515.857142856,668413.0
5982508.857142856,668413.0
5982508.857142856,668951.0
5992512.857142856,668951.0
5992512.857142856,671930.0
6002508.857142856,671930.0
6002508.857142856,672474.0
6012508.857142856,672474.0
6012508.857142856,672534.0
6022508.857142856,672534.0
6022508.857142856,675494.0
6032512.857142856,675494.0
6032512.857142856,675564.0
6042514.857142856,675564.0
6042514.857142856,676221.0
6052508.857142856,676221.0
6052508.857142856,676290.0
6062512.857142856,676290.0
6062512.857142856,676827.0
6072508.857142856,676827.0
6072508.857142856,679773.0
6082508.857142856,679773.0
6082508.857142856,680320.0
6092512.857142856,680320.0
6092512.857142856,680382.0
6102508.857142856,680382.0
6102508.857142856,683320.0
6112512.857142856,683320.0
6112512.857142856,683388.0
6122512.857142856,683388.0
6122512.857142856,683925.0
6132508.857142856,683925.0
6132508.857142856,683984.0
6142515.857142856,683984.0
6142515.857142856,687036.0
6152512.857142856,687036.0
6152512.857142856,687108.0
6162512.857142856,687108.0
6162512.857142856,687775.0
6172512.857142856,687775.0
6172512.857142856,688306.0
6182508.857142856,688306.0
6182508.857142856,691296.0
6192512.857142856,691296.0
6192512.857142856,691356.0
6202512.857142856,691356.0
6202512.857142856,694336.0
6212512.857142856,694336.0
6212512.857142856,694396.0
6222515.857142856,694396.0
6222515.857142856,697361.0
6232508.857142856,697361.0
6232508.857142856,697420.0
6242512.857142856,697420.0
6242512.857142856,698089.0
6252508.857142856,698089.0
6252508.857142856,701029.0
6262508.857142856,701029.0
6262508.857142856,701097.0
6272512.857142856,701097.0
6272512.857142856,701630.0
6282508.857142856,701630.0
6282508.857142856,704590.0
6292508.857142856,704590.0
6292508.857142856,705268.0
6302514.857142856,705268.0
6302514.857142856,708306.0
6312508.857142856,708306.0
6312508.857142856,708366.0
6322508.857142856,708366.0
6322508.857142856,711494.0
6332512.857142856,711494.0
6332512.857142856,711556.0
6342508.857142856,711556.0
6342508.857142856,712075.0
6352512.857142856,712075.0
6352512.857142856,712143.0
6362512.857142856,712143.0
6362512.857142856,715125.0
6372516.857142856,715125.0
6372516.857142856,715811.0
6382514.857142856,715811.0
6382514.857142856,719557.0
6392509.857142856,719557.0
6392509.857142856,722506.0
6402508.857142856,722506.0
6402508.857142856,723023.0
6412512.857142856,723023.0
6412512.857142856,723091.0
6422512.857142856,723091.0
6422512.857142856,723755.0
6432509.857142856,723755.0
6432509.857142856,723814.0
6442508.857142856,723814.0
6442508.857142856,726802.0
6452508.857142856,726802.0
6452508.857142856,726866.0
6462512.857142856,726866.0
6462512.857142856,727392.0
6472508.857142856,727392.0
6472508.857142856,727460.0
6482512.857142856,727460.0
6482512.857142856,727998.0
6492508.857142856,727998.0
6492508.857142856,730934.0
6502508.857142856,730934.0
6502508.857142856,734060.0
6512512.857142856,734060.0
6512512.857142856,734653.0
6522508.857142856,734653.0
6522508.857142856,737599.0
6532508.857142856,737599.0
6532508.857142856,738136.0
6542508.857142856,738136.0
6542508.857142856,738677.0
6552508.857142856,738677.0
6552508.857142856,741613.0
6562514.857142856,741613.0
6562514.857142856,742294.0
6572512.857142856,742294.0
6572512.857142856,745265.0
6582508.857142856,745265.0
6582508.857142856,745343.0
6592508.857142856,745343.0
6592508.857142856,748321.0
6602508.857142856,748321.0
6602508.857142856,748383.0
6612512.857142856,748383.0
6612512.857142856,748923.0
6622516.857142856,748923.0
6622516.857142856,748983.0
6632512.857142856,748983.0
6632512.857142856,752108.0
6642514.857142856,752108.0
6642514.857142856,752624.0
6652512.857142856,752624.0
6652512.857142856,753142.0
6662512.857142856,753142.0
6662512.857142856,756215.0
6672508.857142856,756215.0
6672508.857142856,756732.0
6682508.857142856,756732.0
6682508.857142856,757274.0
6692512.857142856,757274.0
6692512.857142856,757344.0
6702508.857142856,757344.0
6702508.857142856,760438.0
6712508.857142856,760438.0
6712508.857142856,760954.0
6722508.857142856,760954.0
6722508.857142856,764077.0
6732514.857142856,764077.0
6732514.857142856,764616.0
6742508.857142856,764616.0
6742508.857142856,768325.0
6752508.857142856,768325.0
6752508.857142856,771289.0
6762508.857142856,771289.0
6762508.857142856,771945.0
6772512.857142856,771945.0
6772512.857142856,772005.0
6782512.857142856,772005.0
6782512.857142856,775082.0
6792508.857142856,775082.0
6792508.857142856,775142.0
6802508.857142856,775142.0
6802508.857142856,775675.0
6812518.857142856,775675.0
6812518.857142856,775737.0
6822512.857142856,775737.0
6822512.857142856,776261.0
6832508.857142856,776261.0
6832508.857142856,779233.0
6842508.857142856,779233.0
6842508.857142856,779294.0
6852508.857142856,779294.0
6852508.857142856,782464.0
6862508.857142856,782464.0
6862508.857142856,782992.0
6872557.857142856,782992.0
6872557.857142856,783535.0
6882512.857142856,783535.0
6882512.857142856,786495.0
6892512.857142856,786495.0
6892512.857142856,786555.0
6902512.857142856,786555.0
6902512.857142856,787088.0
6912514.857142856,787088.0
6912514.857142856,787148.0
6922508.857142856,787148.0
6922508.857142856,787665.0
6932508.857142856,787665.0
6932508.857142856,787735.0
6942508.857142856,787735.0
6942508.857142856,790684.0
6952512.857142856,790684.0
6952512.857142856,791356.0
6962508.857142856,791356.0
6962508.857142856,794318.0
6972516.857142856,794318.0
6972516.857142856,797271.0
6982508.857142856,797271.0
6982508.857142856,797807.0
6992508.857142856,797807.0
6992508.857142856,797868.0
7002508.857142856,797868.0
7002508.857142856,800962.0
7012514.857142856,800962.0
7012514.857142856,801030.0
7022512.857142856,801030.0
7022512.857142856,804001.0
7032508.857142856,804001.0
7032508.857142856,804060.0
7042508.857142856,804060.0
7042508.857142856,804588.0
7052512.857142856,804588.0
7052512.857142856,805113.0
7062508.857142856,805113.0
7062508.857142856,805173.0
7072512.857142856,805173.0
7072512.857142856,808099.0
7082508.857142856,808099.0
7082508.857142856,811237.0
7092508.857142856,811237.0
7092508.857142856,811773.0
7102515.857142856,811773.0
7102515.857142856,814756.0
7112508.857142856,814756.0
7112508.857142856,814827.0
7122508.857142856,814827.0
7122508.857142856,815481.0
7132508.857142856,815481.0
7132508.857142856,815540.0
7142508.857142856,815540.0
7142508.857142856,818592.0
7152512.857142856,818592.0
7152512.857142856,818653.0
7162512.857142856,818653.0
7162512.857142856,819187.0
7172512.857142856,819187.0
7172512.857142856,822306.0
7182514.857142856,822306.0
7182514.857142856,822365.0
7192512.857142856,822365.0
7192512.857142856,823636.0
7202508.857142856,823636.0
7202508.857142856,826663.0
7212508.857142856,826663.0
7212508.857142856,827178.0
7222512.857142856,827178.0
7222512.857142856,830308.0
7232552.857142856,830308.0
7232552.857142856,830399.0
7242508.857142856,830399.0
7242508.857142856,830916.0
7252512.857142856,830916.0
7252512.857142856,830976.0
7262512.857142856,830976.0
7262512.857142856,831523.0
7272514.857142856,831523.0
7272514.857142856,831582.0
7282508.857142856,831582.0
7282508.857142856,834586.0
7292512.857142856,834586.0
7292512.857142856,835121.0
7302508.857142856,835121.0
7302508.857142856,838241.0
7312508.857142856,838241.0
7312508.857142856,838301.0
7322512.857142856,838301.0
7322512.857142856,841281.0
7332508.857142856,841281.0
7332508.857142856,841340.0
7342512.857142856,841340.0
7342512.857142856,841859.0
7352508.857142856,841859.0
7352508.857142856,841929.0
7362514.857142856,841929.0
7362514.857142856,844879.0
7372512.857142856,844879.0
7372512.857142856,844939.0
7382512.857142856,844939.0
7382512.857142856,845638.0
7392508.857142856,845638.0
7392508.857142856,846157.0
7402508.857142856,846157.0
7402508.857142856,846217.0
7412512.857142856,846217.0
7412512.857142856,849205.0
7422508.857142856,849205.0
7422508.857142856,849723.0
7432508.857142856,849723.0
7432508.857142856,852779.0
7442514.857142856,852779.0
7442514.857142856,852849.0
7452508.857142856,852849.0
7452508.857142856,855955.0
7462508.857142856,855955.0
7462508.857142856,856475.0
7472512.857142856,856475.0
7472512.857142856,857010.0
7482508.857142856,857010.0
7482508.857142856,859974.0
7492512.857142856,859974.0
7492512.857142856,860034.0
7502512.857142856,860034.0
7502512.857142856,863008.0
7512512.857142856,863008.0
7512512.857142856,863068.0
7522512.857142856,863068.0
7522512.857142856,863922.0
7532514.857142856,863922.0
7532514.857142856,866850.0
7542508.857142856,866850.0
7542508.857142856,866910.0
7552512.857142856,866910.0
7552512.857142856,867427.0
7562508.857142856,867427.0
7562508.857142856,871169.0
7572508.857142856,871169.0
7572508.857142856,871879.0
7582508.857142856,871879.0
7582508.857142856,874956.0
7592512.857142856,874956.0
7592512.857142856,875032.0
7602515.857142856,875032.0
7602515.857142856,875570.0
7612512.857142856,875570.0
7612512.857142856,875630.0
7622512.857142856,875630.0
7622512.857142856,878610.0
7632508.857142856,878610.0
7632508.857142856,878669.0
7642512.857142856,878669.0
7642512.857142856,879187.0
7652508.857142856,879187.0
7652508.857142856,879723.0
7662508.857142856,879723.0
7662508.857142856,879793.0
7672512.857142856,879793.0
7672512.857142856,882915.0
7682508.857142856,882915.0
7682508.857142856,885906.0
7692515.857142856,885906.0
7692515.857142856,886425.0
7702512.857142856,886425.0
7702512.857142856,889401.0
7712512.857142856,889401.0
7712512.857142856,889471.0
7722512.857142856,889471.0
7722512.857142856,890130.0
7732508.857142856,890130.0
7732508.857142856,890189.0
7742512.857142856,890189.0
7742512.857142856,893184.0
7752512.857142856,893184.0
7752512.857142856,893244.0
7762512.857142856,893244.0
7762512.857142856,893773.0
7772514.857142856,893773.0
7772514.857142856,896696.0
7782508.857142856,896696.0
7782508.857142856,896755.0
7792512.857142856,896755.0
7792512.857142856,899672.0
7802508.857142856,899672.0
7802508.857142856,900351.0
7812508.857142856,900351.0
7812508.857142856,900882.0
7822508.857142856,900882.0
7822508.857142856,903856.0
7832512.857142856,903856.0
7832512.857142856,903926.0
7842514.857142856,903926.0
7842514.857142856,904447.0
7852512.857142856,904447.0
7852512.857142856,904507.0
7862512.857142856,904507.0
7862512.857142856,905036.0
7872508.857142856,905036.0
7872508.857142856,905104.0
7882508.857142856,905104.0
7882508.857142856,908102.0
7892516.857142856,908102.0
7892516.857142856,908177.0
7902508.857142856,908177.0
7902508.857142856,908847.0
7912512.857142856,908847.0
7912512.857142856,908907.0
7922514.857142856,908907.0
7922514.857142856,912098.0
7932508.857142856,912098.0
7932508.857142856,915006.0
7942514.857142856,915006.0
7942514.857142856,915527.0
7952508.857142856,915527.0
7952508.857142856,918671.0
7962508.857142856,918671.0
7962508.857142856,919194.0
7972512.857142856,919194.0
7972512.857142856,919254.0
7982512.857142856,919254.0
7982512.857142856,920627.0
7992508.857142856,920627.0
7992508.857142856,920687.0
8002508.857142856,920687.0
8002508.857142856,923722.0
8012524.857142856,923722.0
8012524.857142856,923784.0
8022515.857142856,923784.0
8022515.857142856,924315.0
8032508.857142856,924315.0
8032508.857142856,924374.0
8042512.857142856,924374.0
8042512.857142856,927504.0
8052508.857142856,927504.0
8052508.857142856,927573.0
8062512.857142856,927573.0
8062512.857142856,930631.0
8072515.857142856,930631.0
8072515.857142856,930711.0
8082512.857142856,930711.0
8082512.857142856,931261.0
8092512.857142856,931261.0
8092512.857142856,931321.0
8102512.857142856,931321.0
8102512.857142856,934448.0
8112514.857142856,934448.0
8112514.857142856,934981.0
8122508.857142856,934981.0
8122508.857142856,937962.0
8132512.857142856,937962.0
8132512.857142856,938509.0
8142508.857142856,938509.0
8142508.857142856,939051.0
8152512.857142856,939051.0
8152512.857142856,939111.0
8162512.857142856,939111.0
8162512.857142856,942236.0
8172512.857142856,942236.0
8172512.857142856,942304.0
8182508.857142856,942304.0
8182508.857142856,945308.0
8192528.857142856,945308.0
8192528.857142856,945370.0
8202508.857142856,945370.0
8202508.857142856,948323.0
8212508.857142856,948323.0
8212508.857142856,948394.0
8222512.857142856,948394.0
8222512.857142856,951530.0
8232508.857142856,951530.0
